function_name,arguments,return_type,security
gidx_out,gidx,cstring,SECURITY INVOKER
gserialized_gist_joinsel_2d,"internal, oid, internal, smallint",double precision,SECURITY INVOKER
gserialized_gist_joinsel_nd,"internal, oid, internal, smallint",double precision,SECURITY INVOKER
gserialized_gist_sel_2d,"internal, oid, internal, integer",double precision,SECURITY INVOKER
gserialized_gist_sel_nd,"internal, oid, internal, integer",double precision,SECURITY INVOKER
guard_order_item_buyer_ack,,trigger,SECURITY INVOKER
guard_order_status_actor,,trigger,SECURITY INVOKER
handle_market_schedule_deactivation,,trigger,SECURITY DEFINER
handle_new_user,,trigger,SECURITY DEFINER
has_role,check_role user_role,boolean,SECURITY DEFINER
has_role,check_role text,boolean,SECURITY DEFINER
increment_vendor_cancelled,p_vendor_id uuid,"TABLE(confirmed_count integer, cancelled_count integer)",SECURITY DEFINER
increment_vendor_confirmed,p_vendor_id uuid,void,SECURITY DEFINER
is_admin,,boolean,SECURITY DEFINER
is_admin_for_vertical,p_vertical_id text,boolean,SECURITY DEFINER
is_any_admin,,boolean,SECURITY DEFINER
is_contained_2d,"box2df, geometry",boolean,SECURITY INVOKER
is_contained_2d,"box2df, box2df",boolean,SECURITY INVOKER
is_contained_2d,"geometry, box2df",boolean,SECURITY INVOKER
is_event_market,m_id uuid,boolean,SECURITY DEFINER
is_event_organizer,cr_id uuid,boolean,SECURITY DEFINER
is_listing_accepting_orders,p_listing_id uuid,boolean,SECURITY DEFINER
is_order_buyer,order_uuid uuid,boolean,SECURITY DEFINER
is_platform_admin,,boolean,SECURITY DEFINER
is_private_event_market,m_id uuid,boolean,SECURITY DEFINER
is_regional_admin,,boolean,SECURITY DEFINER
is_verifier,,boolean,SECURITY DEFINER
is_vertical_admin,p_vertical_id text,boolean,SECURITY DEFINER
json,geometry,json,SECURITY INVOKER
jsonb,geometry,jsonb,SECURITY INVOKER
lockrow,"text, text, text",integer,SECURITY INVOKER
lockrow,"text, text, text, text, timestamp without time zone",integer,SECURITY INVOKER
lockrow,"text, text, text, timestamp without time zone",integer,SECURITY INVOKER
lockrow,"text, text, text, text",integer,SECURITY INVOKER
longtransactionsenabled,,boolean,SECURITY INVOKER
mark_event_fee_paid_if_capacity,"p_payment_id uuid, p_session_id text, p_payment_intent_id text",jsonb,SECURITY DEFINER
notify_transaction_status_change,,trigger,SECURITY DEFINER
overlaps_2d,"geometry, box2df",boolean,SECURITY INVOKER
overlaps_2d,"box2df, box2df",boolean,SECURITY INVOKER
overlaps_2d,"box2df, geometry",boolean,SECURITY INVOKER
overlaps_geog,"geography, gidx",boolean,SECURITY INVOKER
overlaps_geog,"gidx, geography",boolean,SECURITY INVOKER
overlaps_geog,"gidx, gidx",boolean,SECURITY INVOKER
overlaps_nd,"gidx, gidx",boolean,SECURITY INVOKER
overlaps_nd,"geometry, gidx",boolean,SECURITY INVOKER
overlaps_nd,"gidx, geometry",boolean,SECURITY INVOKER
path,geometry,path,SECURITY INVOKER
pgis_asflatgeobuf_finalfn,internal,bytea,SECURITY INVOKER
pgis_asflatgeobuf_transfn,"internal, anyelement, boolean",internal,SECURITY INVOKER
pgis_asflatgeobuf_transfn,"internal, anyelement, boolean, text",internal,SECURITY INVOKER
pgis_asflatgeobuf_transfn,"internal, anyelement",internal,SECURITY INVOKER
pgis_asgeobuf_finalfn,internal,bytea,SECURITY INVOKER
pgis_asgeobuf_transfn,"internal, anyelement, text",internal,SECURITY INVOKER
